Name,Model,Year,Location,Transmission,Condition,Color,Amount
Toyota,Corolla,2018,Lagos,Automatic,42675 km,Dark Grey,"7,800,000"
Toyota,Camry,2010,Lagos,Automatic,85914 km,Black,"3,150,000"
Toyota,Camry,2010,Lagos,Automatic,62702 km,Silver,"2,400,000"
Toyota,Highlander,2004,Lagos,Automatic,76000 km,Silver,"1,680,000"
Toyota,Corolla,2010,Lagos,Automatic,76000 km,Red,"2,750,000"
Toyota,Sienna,2005,Lagos,Automatic,87542 km,Gold,"2,600,000"
Toyota,Dyna,2002,Lagos,Manual,Foreign Used,White,"5,800,000"
Toyota,Highlander,2008,Lagos,Automatic,702165 km,Silver,"3,850,000"
Toyota,Highlander,2003,Lagos,Automatic,Foreign Used,Gold,"2,100,000"
Toyota,Camry,2010,Lagos,Automatic,Foreign Used,Black,"2,500,000"
Toyota,RAV4,2013,Lagos,Automatic,Foreign Used,Red,"7,500,000"
Toyota,Camry,2011,Lagos,Automatic,54635 km,Gold,"2,450,000"
Toyota,Camry,2016,Abuja,Automatic,89346 km,Dark Grey,"6,800,000"
Toyota,Camry,2013,Kaduna,Automatic,Foreign Used,Red,"4,300,000"
Toyota,Camry,2012,Kaduna,Automatic,Foreign Used,Grey,"4,500,000"
Toyota,Camry,2013,Kaduna,Automatic,Locally Used,White,"2,850,000"
Toyota,Camry,2012,Lagos,Automatic,89543 km,Grey,"2,900,000"
Toyota,Sienna,2011,Abuja,Automatic,56982 km,White,"4,800,000"
Toyota,Camry,2012,Kaduna,Automatic,Locally Used,Black,"2,950,000"
Toyota,Sienna,2013,Lagos,Automatic,Foreign Used,Black,"4,500,000"
Honda,Accord,2017,Lagos,Automatic,21350 km,Black,"7,350,000"
Honda,Accord,2004,Lagos,Manual,134078 km,Black,"1,300,000"
Honda,CR-V,2008,Lagos,Automatic,120432 km,Gold,"3,100,000"
Honda,Accord,2010,Lagos,Automatic,Foreign Used,Green,"3,500,000"
Honda,Accord,2012,Lagos,Automatic,Foreign Used,Black,"4,000,000"
Honda,Accord,2012,Lagos,Automatic,Foreign Used,Grey,"2,500,000"
Honda,Pilot,2006,Lagos,Automatic,67000 km,Black,"2,000,000"
Honda,Pilot,2012,Lagos,Automatic,Foreign Used,Black,"4,500,000"
Honda,Accord,2013,Lagos,Automatic,Foreign Used,Dark Grey,"4,500,000"
Honda,Pilot,2010,Lagos,Automatic,75932 km,Grey,"2,700,000"
Honda,Accord,2008,Lagos,Automatic,108443 km,Gold,"1,280,000"
Honda,Civic,2011,Lagos,Automatic,102324 km,Dark Blue,"1,830,000"
Honda,Accord,2009,Lagos,Automatic,128455 km,Black,"950,000"
Honda,Accord,2007,Lagos,Automatic,122546 km,Dark Grey,"700,000"
Honda,Accord,2009,Lagos,Automatic,128678 km,Dark Grey,"1,190,000"
Honda,Accord,2008,Lagos,Automatic,108443 km,Gold,"1,280,000"
Honda,Pilot,2006,Lagos,Automatic,118346 km,Dark Grey,"1,990,000"
Honda,Pilot,2007,Lagos,Automatic,115335 km,Blue,"1,650,000"
Honda,Accord,2008,Lagos,Automatic,103566 km,Dark Grey,"1,190,000"
Honda,CR-V,2000,Lagos,Automatic,75893 km,Red,"530,000"
Toyota,Sienna,2012,Lagos,Automatic,Foreign Used,Grey,"5,200,000"
Toyota,Camry,2004,Lagos,Automatic,Foreign Used,Gold,"1,550,000"
Toyota,Camry,2009,Lagos,Automatic,65 km,Silver,"3,000,000"
Toyota,Corolla,2018,Lagos,Automatic,42675 km,Dark Grey,"7,800,000"
Toyota,Camry,2010,Lagos,Automatic,85914 km,Black,"3,150,000"
Toyota,Camry,2010,Lagos,Automatic,62702 km,Silver,"2,400,000"
Toyota,Highlander,2004,Lagos,Automatic,76000 km,Silver,"1,680,000"
Toyota,Corolla,2010,Lagos,Automatic,76000 km,Red,"2,750,000"
Toyota,Sienna,2005,Lagos,Automatic,87542 km,Gold,"2,600,000"
Toyota,Dyna,2002,Lagos,Manual,Foreign Used,White,"5,800,000"
Toyota,Highlander,2008,Lagos,Automatic,702165 km,Silver,"3,850,000"
Toyota,Highlander,2003,Lagos,Automatic,Foreign Used,Gold,"2,100,000"
Toyota,Camry,2010,Lagos,Automatic,Foreign Used,Black,"2,500,000"
Toyota,RAV4,2013,Lagos,Automatic,Foreign Used,Red,"7,500,000"
Toyota,Camry,2011,Lagos,Automatic,54635 km,Gold,"2,450,000"
Toyota,Camry,2016,Abuja,Automatic,89346 km,Dark Grey,"6,800,000"
Toyota,Camry,2013,Kaduna,Automatic,Foreign Used,Red,"4,300,000"
Toyota,Camry,2012,Kaduna,Automatic,Foreign Used,Grey,"4,500,000"
Toyota,Camry,2013,Kaduna,Automatic,Locally Used,White,"2,850,000"
Toyota,Camry,2012,Lagos,Automatic,89543 km,Grey,"2,900,000"
Honda,Accord,2014,Lagos,Automatic,85000 km,Black,"4,850,000"
Honda,Accord,2014,Lagos,Automatic,81000 km,Maroon,"5,400,000"
Honda,CR-V,2017,Lagos,Automatic,36000 km,Black,"12,000,000"
Honda,Accord,2014,Ogun,Automatic,100000 km,Dark Grey,"5,000,000"
Honda,Accord,2013,Ogun,Automatic,100000 km,Dark Grey,"4,500,000"
Honda,Accord,2013,Ogun,Automatic,100000 km,Dark Blue,"4,200,000"
Honda,Civic,2006,Lagos,Automatic,142332 km,Grey,"1,580,000"
Honda,CR-V,2008,Lagos,Automatic,96321 km,Black,"1,800,000"
Honda,CR-V,2009,Lagos,Automatic,96380 km,Red,"1,750,000"
Honda,CR-V,2006,Lagos,Automatic,85028 km,Red,"1,750,000"
Honda,Accord,2013,Lagos,Automatic,65882 km,Grey,"3,600,000"
Honda,Accord,2013,Enugu,Automatic,108682 km,Blue,"3,000,000"
Honda,Accord,2007,Lagos,Automatic,Foreign Used,Silver,"1,770,000"
Honda,CR-V,2012,Lagos,Automatic,Foreign Used,Silver,"2,950,000"
Honda,CR-V,2008,Lagos,Automatic,65883 km,Grey,"2,750,000"
Honda,Accord,2017,Lagos,Automatic,35 km,Black,"8,500,000"
Honda,CR-V,2009,Lagos,Automatic,65783 km,Black,"2,800,000"
Honda,Accord,2010,Lagos,Automatic,Foreign Used,Silver,"3,999,000"
Honda,Accord,2013,Lagos,Automatic,42 km,Gold,"4,800,000"
Honda,Accord,2010,Lagos,Automatic,Foreign Used,Silver,"2,500,000"
Toyota,Sienna,2011,Abuja,Automatic,56982 km,White,"4,800,000"
Toyota,Camry,2012,Kaduna,Automatic,Locally Used,Black,"2,950,000"
Toyota,Sienna,2013,Lagos,Automatic,Foreign Used,Black,"4,500,000"
Toyota,Corolla,2015,Abuja,Automatic,34687 km,Dark Green,"4,500,000"
Toyota,Camry,2013,Kaduna,Automatic,Locally Used,Black,"3,100,000"
Toyota,Camry,2005,Lagos,Automatic,546435 km,Red,"1,650,000"
Toyota,Grand,2007,Lagos,Automatic,150 km,Black,"3,200,000"
Toyota,Matrix,2009,Lagos,Automatic,64882 km,Blue,"2,550,000"
Toyota,Camry,2012,Lagos,Automatic,112331 km,Black,"3,500,000"
Toyota,Camry,2012,Lagos,Automatic,90000 km,Black,"4,400,000"
Toyota,Venza,2012,Abuja,Automatic,86305 km,White,"5,450,000"
Toyota,Corolla,2013,Lagos,Automatic,75892 km,Silver,"2,400,000"
Toyota,Avalon,2015,Lagos,Automatic,Foreign Used,Silver,"8,000,000"
Toyota,Corolla,2014,Lagos,Automatic,Foreign Used,Red,"4,500,000"
Toyota,RAV4,2010,Lagos,Automatic,Foreign Used,Dark Grey,"3,400,000"
Toyota,Camry,2009,Lagos,Automatic,Foreign Used,Red,"2,500,000"
Toyota,Highlander,2011,Lagos,Automatic,Foreign Used,Black,"7,000,000"
Toyota,Highlander,2010,Lagos,Automatic,Foreign Used,Dark Grey,"4,550,000"
Toyota,Highlander,2010,Lagos,Automatic,Foreign Used,Dark Grey,"4,550,000"
Toyota,Highlander,2013,Lagos,Automatic,Foreign Used,Blue,"6,500,000"
Honda,Accord,2007,Lagos,Automatic,Foreign Used,Silver,"1,770,000"
Honda,CR-V,2012,Lagos,Automatic,Foreign Used,Silver,"2,950,000"
Honda,CR-V,2008,Lagos,Automatic,65883 km,Grey,"2,750,000"
Honda,Accord,2017,Lagos,Automatic,35 km,Black,"8,500,000"
Honda,CR-V,2009,Lagos,Automatic,65783 km,Black,"2,800,000"
Honda,Accord,2010,Lagos,Automatic,Foreign Used,Silver,"3,999,000"
Honda,Accord,2013,Lagos,Automatic,42 km,Gold,"4,800,000"
Honda,Accord,2010,Lagos,Automatic,Foreign Used,Silver,"2,500,000"
Honda,Accord,2009,Lagos,Automatic,52 km,Blue,"2,300,000"
Honda,Pilot,2007,Lagos,Automatic,Foreign Used,Maroon,"2,300,000"
Honda,Accord,2016,Lagos,Automatic,65 km,Silver,"5,200,000"
Honda,CR-V,2008,Lagos,Automatic,73838 km,Silver,"1,670,000"
Honda,Accord,2009,Lagos,Automatic,87000 km,Grey,"1,450,000"
Honda,Accord,2009,Lagos,Automatic,87000 km,Grey,"1,350,000"
Honda,Pilot,2004,Lagos,Automatic,Foreign Used,Brown,"2,100,000"
Honda,Crosstour,2009,Lagos,Automatic,86542 km,Dark Grey,"2,800,000"
Honda,Crosstour,2010,Lagos,Automatic,Foreign Used,Black,"1,800,000"
Honda,CR-V,2008,Lagos,Automatic,Foreign Used,Red,"2,650,000"
Honda,Accord,2015,Lagos,Automatic,Foreign Used,Black,"4,350,000"
Honda,Pilot,2011,Lagos,Automatic,Foreign Used,White,"4,150,000"
Toyota,Camry,2004,Lagos,Automatic,105477 km,Silver,"950,000"
Toyota,Sienna,2006,Lagos,Automatic,123881 km,Gold,"1,150,000"
Toyota,Camry,2009,Lagos,Automatic,115627 km,Silver,"1,400,000"
Toyota,Camry,2008,Lagos,Automatic,125344 km,Dark Grey,"1,360,000"
Toyota,Highlander,2006,Lagos,Automatic,90847 km,Silver,"1,450,000"
Toyota,Highlander,2008,Lagos,Automatic,72453 km,Dark Grey,"2,650,000"
Toyota,Matrix,2004,Lagos,Automatic,116112 km,Silver,"1,050,000"
Toyota,Camry,2009,Lagos,Automatic,128455 km,Grey,"1,430,000"
Toyota,Highlander,2008,Lagos,Automatic,103554 km,Dark Grey,"3,580,000"
Toyota,Highlander,2009,Lagos,Automatic,62566 km,Maroon,"2,650,000"
Toyota,Matrix,2012,Lagos,Automatic,74776 km,Dark Blue,"1,580,000"
Toyota,Sienna,2001,Lagos,Automatic,139465 km,Dark Blue,"830,000"
Toyota,Highlander,2005,Lagos,Automatic,102457 km,Silver,"2,150,000"
Toyota,Camry,2010,Lagos,Automatic,98467 km,Silver,"2,450,000"
Toyota,Land,2019,Lagos,Automatic,28683 km,Black,"9,800,000"
Toyota,4-Runner,2001,Lagos,Automatic,167789 km,Black,"530,000"
Toyota,Highlander,2008,Lagos,Automatic,72453 km,Dark Grey,"2,650,000"
Toyota,Corolla,2005,Lagos,Automatic,120762 km,Black,"1,150,000"
Toyota,Corolla,2000,Lagos,Automatic,136383 km,Silver,"600,000"
Toyota,Corolla,2005,Lagos,Automatic,113243 km,Silver,"1,200,000"
Honda,CR-V,2016,Lagos,Automatic,45000 km,White,"5,800,000"
Honda,CR-V,2008,Lagos,Automatic,113852 km,Black,"1,480,000"
Honda,Accord,2005,Lagos,Automatic,83 km,Gold,"850,000"
Honda,Accord,2005,Lagos,Automatic,30000 km,Gold,"700,000"
Honda,Accord,2010,Lagos,Automatic,85000 km,Grey,"4,200,000"
Honda,Pilot,2007,Lagos,Automatic,89000 km,Grey,"2,300,000"
Honda,Accord,2007,Lagos,Automatic,86321 km,Black,"1,000,000"
Honda,Odyssey,2010,Lagos,Automatic,Locally Used,Grey,"1,750,000"
Honda,Accord,2008,Lagos,Automatic,Foreign Used,White,"1,900,000"
Honda,Accord,2008,Lagos,Automatic,Foreign Used,White,"1,900,000"
Honda,Accord,2007,Abuja,Automatic,Foreign Used,Black,"1,550,000"
Honda,Accord,2010,Abuja,Automatic,46300 km,Black,"2,450,000"
Honda,Accord,2014,Abuja,Automatic,Foreign Used,Silver,"5,850,000"
Honda,CR-V,2008,Abuja,Automatic,Foreign Used,Blue,"2,550,000"
Honda,Pilot,2013,Abuja,Automatic,5000 km,Grey,"4,500,000"
Honda,Element,2008,Abuja,Automatic,Foreign Used,Grey,"1,650,000"
Honda,Accord,2008,Abuja,Automatic,Foreign Used,Dark Grey,"2,200,000"
Honda,Accord,2009,Abuja,Automatic,Foreign Used,Maroon,"2,650,000"
Honda,Accord,2009,Abuja,Automatic,Foreign Used,Black,"2,400,000"
Honda,Accord,2009,Lagos,Automatic,Foreign Used,Dark Blue,"2,100,000"
Mercedes-Benz,ML350,2014,Lagos,Automatic,Foreign Used,Brown,"9,650,000"
Mercedes-Benz,GLE,2020,Lagos,Automatic,23 km,Black,"54,000,000"
Mercedes-Benz,GLE,2020,Lagos,Automatic,23 km,Black,"74,000,000"
Mercedes-Benz,GLK,2011,Lagos,Automatic,52349 km,White,"6,000,000"
Mercedes-Benz,ML350,2014,Lagos,Automatic,5364 km,Black,"11,000,000"
Mercedes-Benz,ML350,2007,Lagos,Automatic,100000 km,White,"3,600,000"
Mercedes-Benz,C350,2010,Osun,Automatic,Locally Used,Black,"2,500,000"
Mercedes-Benz,C300,2009,Rivers,Automatic,90000 km,Grey,"3,800,000"
Mercedes-Benz,GLK,2012,Rivers,Automatic,65000 km,Black,"4,800,000"
Mercedes-Benz,E250,2016,Lagos,Automatic,Foreign Used,Maroon,"9,000,000"
Mercedes-Benz,E350,2011,Lagos,Automatic,Foreign Used,Black,"5,800,000"
Mercedes-Benz,M,2003,Lagos,Automatic,138909 km,Black,"1,750,000"
Mercedes-Benz,CLS,2015,Lagos,Automatic,Foreign Used,Black,"8,500,000"
Mercedes-Benz,S550,2008,Lagos,Automatic,Foreign Used,Silver,"7,000,000"
Mercedes-Benz,ML350,2012,Lagos,Automatic,79000 km,Blue,"7,500,000"
Mercedes-Benz,C300,2012,Lagos,Automatic,65000 km,Silver,"4,650,000"
Mercedes-Benz,C300,2012,Lagos,Automatic,76000 km,Red,"5,200,000"
Mercedes-Benz,C300,2008,Abuja,Automatic,97838 km,Black,"3,800,000"
Mercedes-Benz,C350,2013,Abuja,Automatic,56893 km,Black,"6,500,000"
Mercedes-Benz,E350,2010,Lagos,Automatic,544342 km,Silver,"3,350,000"
Mercedes-Benz,CLS,2015,Lagos,Automatic,Foreign Used,Black,"8,500,000"
Mercedes-Benz,S550,2008,Lagos,Automatic,Foreign Used,Silver,"7,000,000"
Mercedes-Benz,ML350,2012,Lagos,Automatic,79000 km,Blue,"7,500,000"
Mercedes-Benz,C300,2012,Lagos,Automatic,65000 km,Silver,"4,650,000"
Mercedes-Benz,C300,2012,Lagos,Automatic,76000 km,Red,"5,200,000"
Mercedes-Benz,C300,2008,Abuja,Automatic,97838 km,Black,"3,800,000"
Mercedes-Benz,C350,2013,Abuja,Automatic,56893 km,Black,"6,500,000"
Mercedes-Benz,E350,2010,Lagos,Automatic,544342 km,Silver,"3,350,000"
Mercedes-Benz,GLK,2015,Lagos,Automatic,83625 km,Black,"9,000,000"
Mercedes-Benz,GLK,2010,Lagos,Automatic,Foreign Used,Black,"5,450,000"
Mercedes-Benz,SLK,2012,Lagos,Automatic,74000 km,Blue,"8,500,000"
Mercedes-Benz,ML350,2005,Lagos,Automatic,Foreign Used,Silver,"3,800,000"
Mercedes-Benz,E250,2017,Lagos,Automatic,Foreign Used,Black,"9,500,000"
Mercedes-Benz,CLA-Class,2014,Lagos,Automatic,86064 km,Dark Blue,"5,350,000"
Mercedes-Benz,C300,2015,Lagos,Automatic,16247 km,Dark Blue,"7,900,000"
Mercedes-Benz,C300,2015,Lagos,Automatic,16355 km,Dark Grey,"7,900,000"
Mercedes-Benz,S550,2008,Lagos,Automatic,18234 km,Black,"6,850,000"
Mercedes-Benz,GL,2013,Lagos,Automatic,73525 km,Black,"8,400,000"
Mercedes-Benz,GL,2013,Lagos,Automatic,50000 km,Black,"16,500,000"
Mercedes-Benz,C63,2016,Lagos,Automatic,27000 km,Black,"23,000,000"
Mercedes-Benz,GLE,2016,Lagos,Automatic,55000 km,Black,"15,500,000"
Mercedes-Benz,E400,2016,Lagos,Automatic,30000 km,Black,"13,500,000"
Mercedes-Benz,GL,2013,Lagos,Automatic,120000 km,White,"12,000,000"
Mercedes-Benz,GL,2009,Lagos,Automatic,167000 km,Black,"3,500,000"
Mercedes-Benz,C300,2008,Lagos,Automatic,135899 km,Black,"3,100,000"
Mercedes-Benz,C300,2008,Lagos,Automatic,113000 km,Grey,"3,250,000"
Mercedes-Benz,C300,2008,Lagos,Automatic,121000 km,Black,"3,100,000"
Mercedes-Benz,C300,2009,Lagos,Automatic,154000 km,Blue,"3,250,000"
Mercedes-Benz,CLK,2006,Lagos,Automatic,Foreign Used,Black,"4,400,000"
Mercedes-Benz,Ateco,2002,Lagos,Manual,98521 km,Red,"6,000,000"
Mercedes-Benz,ML350,2008,Lagos,Automatic,Foreign Used,Maroon,"4,900,000"
Mercedes-Benz,E350,2005,Enugu,Manual,Foreign Used,White,"2,500,000"
Mercedes-Benz,GLK,2014,Enugu,Automatic,67654 km,Black,"9,000,000"
Mercedes-Benz,ML350,2015,Enugu,Automatic,Foreign Used,Black,"10,000,000"
Mercedes-Benz,GLK,2015,Enugu,Automatic,Foreign Used,White,"5,000,000"
Mercedes-Benz,E350,2008,Enugu,Automatic,Foreign Used,White,"2,500,000"
Mercedes-Benz,ML350,2008,Enugu,Automatic,45000 km,White,"4,500,000"
Mercedes-Benz,ML350,2012,Enugu,Automatic,Foreign Used,Black,"9,500,000"
Mercedes-Benz,ML350,2008,Enugu,Automatic,Foreign Used,White,"4,500,000"
Mercedes-Benz,S550,2017,Lagos,Automatic,Foreign Used,White,"48,000,000"
Mercedes-Benz,S550,2007,Lagos,Automatic,63 km,Dark Blue,"7,500,000"
Mercedes-Benz,GLK,2012,Lagos,Automatic,64822 km,Red,"5,950,000"
Mercedes-Benz,C300,2008,Lagos,Automatic,56 km,White,"3,900,000"
Mercedes-Benz,ML350,2007,Lagos,Automatic,65 km,Black,"3,900,000"
Mercedes-Benz,GL,2008,Lagos,Automatic,Foreign Used,Black,"7,500,000"
Mercedes-Benz,C300,2015,Lagos,Automatic,33 km,Silver,"10,500,000"
Mercedes-Benz,CLA-Class,2016,Lagos,Automatic,Foreign Used,Black,"8,000,000"
Mercedes-Benz,C300,2015,Lagos,Automatic,33 km,Black,"8,900,000"
Mercedes-Benz,C300,2015,Lagos,Automatic,42150 km,Black,"8,750,000"
Mercedes-Benz,C300,2015,Lagos,Automatic,65000 km,Silver,"9,000,000"
Mercedes-Benz,C300,2009,Lagos,Automatic,87000 km,Black,"2,350,000"
Mercedes-Benz,GLE,2016,Lagos,Automatic,65000 km,Black,"14,500,000"
Mercedes-Benz,GLK,2010,Lagos,Automatic,87000 km,Black,"3,300,000"
Mercedes-Benz,GLK,2015,Lagos,Automatic,35596 km,Black,"7,500,000"
Mercedes-Benz,C180,2010,Lagos,Automatic,110000 km,Silver,"4,000,000"
Mercedes-Benz,GLK,2012,Lagos,Automatic,63547 km,Black,"5,600,000"
Mercedes-Benz,GLA,2015,Lagos,Automatic,Foreign Used,Black,"9,700,000"
Mercedes-Benz,GLK,2010,Lagos,Automatic,Foreign Used,Grey,"5,250,000"
Mercedes-Benz,C300,2008,Lagos,Automatic,101000 km,Gold,"2,200,000"
Mercedes-Benz,ML350,2013,Lagos,Automatic,63210 km,Silver,"9,500,000"
