,Type,Rooms,Location,Price
1550,rent,House,Ojo,130000
1551,semi-detached duplex,4,Lekki,3500000
1552,rent,House,Ojo,300000
1553,terraced duplex,4,Lekki,3200000
1554,terraced duplex,3,Lekki,1500000
1555,semi-detached duplex,3,Lekki,2000000
1556,terraced duplex,4,(VI),7000000
1557,terraced duplex,4,Lekki,4500000
1558,terraced duplex,4,Lekki,5000000
1559,terraced duplex,4,Lekki,6500000
1560,detached duplex,6,Lekki,12000000
1561,semi-detached duplex,5,Ajah,2800000
1562,semi-detached duplex,4,Lekki,3000000
1563,detached duplex,4,Lekki,6000000
1564,semi-detached duplex,4,Lekki,6000000
1565,semi-detached duplex,4,Lekki,3500000
1566,semi-detached duplex,4,Ajah,1500000
1567,house for,1,Ojo,180000
1568,detached duplex,5,Ikoyi,10000000
1569,house for,4,(VI),6500000
1570,for rent,Semi-detached,Ikoyi,6000000
1571,terraced duplex,4,Lekki,4500000
1572,terraced duplex,4,(VI),4000000
1573,terraced duplex,4,Lekki,5000000
1574,terraced duplex,2,Ikoyi,10000000
1575,semi-detached duplex,6,Lekki,5000000
1576,terraced duplex,4,Lekki,5000000
1577,detached duplex,5,Ikoyi,12000000
1578,semi-detached duplex,4,Lekki,3500000
1579,terraced duplex,3,Lekki,2000000
1580,terraced duplex,3,Lekki,2500000
1581,terraced duplex,4,Ikoyi,10000000
1582,semi-detached duplex,4,Lekki,3000000
1583,semi-detached duplex,4,Lekki,3500000
1584,terraced duplex,4,Lekki,3500000
1585,terraced duplex,4,Lekki,6000000
1586,terraced duplex,3,Ikoyi,15000000
1587,detached duplex,5,(VI),9000000
1588,terraced duplex,4,Lekki,4500000
1589,semi-detached duplex,6,Surulere,4000000
1590,terraced duplex,4,Lekki,3000000
1591,terraced duplex,3,(VI),4000000
1592,detached duplex,5,Lekki,10000000
1593,terraced duplex,4,Lekki,3800000
1594,terraced duplex,4,Lekki,2500000
1595,semi-detached duplex,4,Lekki,2700000
1596,semi-detached duplex,6,Lekki,5000000
1597,terraced duplex,5,Ikoyi,9000000
1598,detached duplex,5,Lekki,7000000
1599,semi-detached duplex,5,Lekki,7000000
1600,detached duplex,5,Lekki,7000000
1601,detached duplex,4,Lekki,4500000
1602,terraced duplex,4,Lekki,4000000
1603,detached duplex,4,Lekki,4000000
1604,terraced duplex,4,(VI),6500000
1605,terraced duplex,4,Lekki,3200000
1606,detached duplex,7,Lekki,7000000
1607,terraced duplex,3,(VI),5000000
1608,semi-detached duplex,4,Ajah,3500000
1609,semi-detached duplex,4,Lekki,3000000
1610,terraced duplex,3,Ikoyi,12000000
1611,detached duplex,5,Lekki,15000000
1612,terraced duplex,4,Lekki,4500000
1613,detached duplex,5,Lekki,15000000
1614,for rent,Terraced,Ikoyi,6000000
1615,semi-detached duplex,5,Lekki,6500000
1616,terraced duplex,4,Lekki,3300000
1617,house for,4,Lekki,4000000
1618,rent,House,Ilupeju,1500000
1619,semi-detached bungalow,3,Lekki,800000
1620,detached duplex,4,Lekki,3500000
1621,terraced duplex,4,Lekki,47000000
1622,terraced duplex,4,Lekki,4000000
1623,terraced duplex,3,Ajah,1700000
1624,house for,3,(VI),5000000
1625,detached duplex,5,Lekki,12000000
1626,terraced duplex,4,Lekki,7500000
1627,terraced duplex,4,Lekki,3500000
1628,terraced duplex,4,Ikoyi,6000000
1629,terraced duplex,4,Lekki,3000000
1630,house for,3,Lekki,2500000
1631,house for,3,(VI),5500000
1632,terraced duplex,3,Ikeja,5500000
1633,terraced duplex,4,Lekki,3000000
1634,semi-detached duplex,4,Lekki,3500000
1635,semi-detached duplex,4,Lekki,3500000
1636,semi-detached bungalow,3,Ajah,1000000
1637,terraced duplex,4,Lekki,5000000
1638,house for,4,Lekki,4000000
1639,terraced duplex,4,Ikoyi,9000000
1640,semi-detached duplex,5,Ikoyi,9000000
1641,terraced duplex,5,Ikoyi,13000000
1642,semi-detached duplex,4,Ajah,2500000
1643,terraced duplex,4,Ikoyi,8000000
1644,semi-detached duplex,4,Lekki,2000000
1645,detached duplex,4,(VI),5000000
1646,terraced duplex,4,Ikoyi,7000000
1647,terraced duplex,3,Lekki,5000000
1648,terraced duplex,4,Ikoyi,15000000
1649,detached duplex,5,Lekki,8000000
1650,terraced duplex,4,(VI),4500000
1651,terraced duplex,4,(VI),4500000
1652,terraced duplex,4,Lekki,4500000
1653,terraced duplex,5,Lekki,5000000
1654,semi-detached duplex,5,Lekki,6000000
1655,terraced duplex,4,Ikoyi,10000000
1656,semi-detached duplex,4,Lekki,2500000
1657,semi-detached duplex,2,Lekki,1500000
1658,semi-detached duplex,3,Lekki,2400000
1659,semi-detached duplex,6,Lekki,5000000
1660,semi-detached duplex,4,Ajah,1700000
1661,detached duplex,5,Lekki,6500000
1662,terraced duplex,4,Lekki,2700000
1663,detached duplex,4,Lekki,5000000
1664,detached duplex,5,Ikeja,10000000
1665,semi-detached duplex,4,Ikoyi,8500000
1666,detached duplex,4,Lekki,4000000
1667,terraced duplex,4,Lekki,4500000
1668,detached duplex,5,Lekki,7000000
1669,terraced duplex,3,Lekki,4000000
1670,detached duplex,5,Lekki,15000000
1671,detached duplex,5,Lekki,9000000
1672,terraced duplex,4,Lekki,3000000
1673,terraced duplex,4,Lekki,3000000
1674,terraced duplex,3,Lekki,3700000
1675,detached duplex,4,(VI),11000000
1676,semi-detached duplex,5,Ikoyi,8500000
1677,detached duplex,4,Ikoyi,5500000
1678,detached duplex,5,Lekki,4000000
1679,house for,5,Lekki,4000000
1680,house for,4,Lekki,4000000
1681,semi-detached duplex,5,Lekki,4000000
1682,house for,3,(VI),2800000
1683,terraced duplex,4,Lekki,3000000
1684,detached bungalow,3,Ajah,1700000
1685,detached bungalow,4,Lekki,5000000
1686,house for,3,Lekki,2500000
1687,house for,5,Lekki,7000000
1688,terraced duplex,4,Lekki,40000000
1689,terraced duplex,4,Lekki,3000000
1690,terraced duplex,4,Lekki,4000000
1691,detached duplex,5,Lekki,7500000
1692,house for,3,Lekki,3500000
1693,detached duplex,4,Ajah,2500000
1694,terraced duplex,5,Lekki,3500000
1695,semi-detached duplex,4,Lekki,2000000
1696,semi-detached duplex,4,Ikoyi,8000000
1697,terraced duplex,3,Lekki,3500000
1698,semi-detached duplex,4,Lekki,4000000
1699,house for,3,Ikoyi,14000000
1700,detached duplex,5,Lekki,10000000
1701,terraced duplex,3,Lekki,1500000
1702,terraced duplex,4,Ikoyi,15000000
1703,terraced duplex,4,Lekki,2800000
1704,house for,4,Lekki,3500000
1705,semi-detached duplex,5,Magodo,5000000
1706,terraced duplex,3,Ajah,1800000
1707,detached duplex,6,(VI),20000000
1708,detached duplex,4,(VI),20000000
1709,terraced duplex,3,Ikoyi,10000000
1710,terraced duplex,3,Lekki,4000000
1711,house for,3,(VI),5500000
1712,detached duplex,5,Lekki,12000000
1713,semi-detached duplex,4,Lekki,3500000
1714,detached duplex,5,Lekki,6000000
1715,terraced duplex,4,Lekki,4800000
1716,terraced duplex,4,Ikoyi,13000000
1717,detached duplex,5,Lekki,4000000
1718,detached duplex,6,Agege,1500000
1719,terraced duplex,3,Ikoyi,10000000
1720,for rent,Detached,Lekki,10000000
1721,detached duplex,5,Lekki,12000000
1722,house for,4,Lekki,4000000
1723,semi-detached duplex,4,Lekki,4600000
1724,semi-detached duplex,4,Yaba,2500000
1725,detached duplex,5,Lekki,10000000
1726,detached duplex,5,Lekki,4500000
1727,terraced duplex,2,North,700000
1728,detached duplex,5,Lekki,6000000
1729,detached duplex,5,Lekki,7000000
1730,terraced duplex,4,Lekki,3500000
1731,detached duplex,7,(VI),25000000
1732,house for,3,Lekki,3000000
1733,house for,6,Ikoyi,45000000
1734,terraced duplex,3,Ajah,1600000
1735,semi-detached duplex,4,Lekki,4000000
1736,detached duplex,7,Lekki,7000000
1737,terraced duplex,4,Lekki,3000000
1738,detached duplex,4,Lekki,4000000
1739,detached duplex,5,Ikoyi,10000000
1740,semi-detached duplex,5,Ikoyi,15000000
1741,terraced duplex,3,Lekki,4500000
1742,terraced duplex,3,Lekki,4000000
1743,semi-detached duplex,6,Lekki,5000000
1744,house for,4,Ikoyi,15000000
1745,terraced duplex,4,Ikoyi,10000000
1746,semi-detached duplex,4,Surulere,3000000
1747,terraced duplex,4,Ikoyi,9000000
1748,terraced duplex,4,Ikoyi,15000000
1749,terraced duplex,4,Lekki,3700000
1750,terraced duplex,3,Lekki,4000000
1751,detached duplex,6,Ikeja,35000000
1752,terraced duplex,4,Ikoyi,8000000
1753,terraced duplex,4,Ikoyi,8500000
1754,terraced duplex,4,Ikoyi,12000000
1755,terraced duplex,4,Ikoyi,7500000
1756,terraced duplex,4,Ikoyi,15000000
1757,semi-detached duplex,4,Lekki,3000000
1758,semi-detached duplex,4,Lekki,4500000
1759,detached duplex,3,(VI),10000000
1760,semi-detached duplex,5,(VI),5500000
1761,terraced duplex,4,(VI),5000000
1762,detached duplex,4,Lekki,1800000
1763,semi-detached duplex,4,Lekki,2000000
1764,terraced duplex,3,Lekki,1500000
1765,detached duplex,45,Lekki,3000000
1766,detached duplex,4,Ajah,2500000
1767,semi-detached duplex,4,Lekki,5000000
1768,terraced duplex,4,Ikeja,3500000
1769,detached duplex,5,Ikeja,15000000
1770,terraced duplex,4,Ikoyi,13000000
1771,detached duplex,4,Lekki,3000000
1772,terraced duplex,4,Ikoyi,8000000
1773,terraced duplex,4,Lekki,4500000
1774,terraced duplex,5,Lekki,6000000
1775,terraced duplex,3,Ikoyi,13500000
1776,terraced duplex,3,Lekki,5500000
1777,house for,4,Ikoyi,17000000
1778,detached bungalow,4,Lekki,5000000
1779,terraced duplex,3,Ajah,1800000
1780,terraced duplex,4,Ikoyi,15000000
1781,terraced duplex,3,Lekki,5000000
1782,terraced duplex,3,Ikeja,3500000
1783,terraced duplex,3,Yaba,3000000
1784,terraced duplex,4,(VI),5000000
1785,house for,4,Lekki,4000000
1786,house for,4,Ikoyi,12000000
1787,terraced duplex,3,Lekki,4000000
1788,terraced duplex,4,Ikoyi,20000000
1789,semi-detached duplex,4,(VI),6000000
1790,semi-detached duplex,4,Lekki,4500000
1791,terraced duplex,4,Ikoyi,16000000
1792,terraced duplex,4,Ikoyi,8000000
1793,terraced duplex,4,Ikoyi,18000000
1794,terraced duplex,4,Ikoyi,15000000
1795,terraced duplex,4,Ikoyi,10000000
1796,semi-detached bungalow,4,Ikoyi,13000000
1797,terraced duplex,3,Lekki,1800000
1798,detached duplex,5,Lekki,4500000
1799,detached duplex,4,(VI),15000000
1800,semi-detached duplex,3,Ikoyi,9000000
1801,detached bungalow,2,Ikorodu,180000
1802,semi-detached duplex,4,Lekki,4000000
1803,detached duplex,5,Lekki,2300000
1804,semi-detached duplex,5,Ikoyi,17000000
1805,terraced duplex,4,Ikoyi,7000000
1806,semi-detached duplex,6,Lekki,5000000
1807,semi-detached duplex,4,Ikoyi,8500000
1808,detached duplex,5,(VI),20000000
1809,terraced duplex,4,Ikoyi,17000000
1810,terraced duplex,4,Ikoyi,11000000
1811,detached duplex,4,Lekki,2000000
1812,terraced duplex,4,Lekki,2500000
1813,detached duplex,4,Ajah,2800000
1814,for rent,Detached,(VI),25000000
1815,semi-detached duplex,4,Lekki,7000000
1816,terraced duplex,3,Ikoyi,12000000
1817,semi-detached duplex,4,Lekki,4000000
1818,semi-detached duplex,4,Ajah,1900000
1819,detached duplex,5,Lekki,7000000
1820,terraced duplex,3,Lekki,4000000
1821,semi-detached duplex,4,Lekki,5000000
1822,for rent,Detached,Lekki,6000000
1823,semi-detached duplex,4,Lekki,2500000
1824,semi-detached duplex,4,Lekki,4000000
1825,semi-detached duplex,4,Lekki,4000000
1826,terraced duplex,4,Lekki,3200000
1827,house for,4,Lekki,4000000
1828,terraced duplex,3,Lekki,2500000
1829,detached duplex,4,Lekki,4000000
1830,terraced duplex,3,Lekki,3500000
1831,semi-detached duplex,4,Lekki,6000000
1832,terraced duplex,4,(VI),7000000
1833,terraced duplex,4,(VI),7000000
1834,terraced duplex,4,Yaba,3500000
1835,detached duplex,4,Lekki,4500000
1836,detached duplex,5,Lekki,8500000
1837,detached duplex,4,Lekki,3700000
1838,detached duplex,5,Lekki,15000000
1839,terraced duplex,4,Lekki,6000000
1840,detached duplex,5,Ikoyi,11000000
1841,detached duplex,5,Lekki,4500000
1842,for rent,Detached,(VI),25000000
1843,terraced duplex,4,(VI),8000000
1844,detached duplex,5,Lekki,4000000
1845,terraced duplex,4,Ikoyi,13000000
1846,semi-detached duplex,4,Lekki,5000000
1847,terraced duplex,4,Lekki,3000000
1848,terraced duplex,3,Lekki,1500000
1849,detached duplex,15,Lekki,6000000
1850,semi-detached duplex,5,Ajah,4500000
1851,semi-detached duplex,4,Lekki,5000000
1852,for rent,Detached,(VI),12000000
1853,detached duplex,5,Lekki,8000000
1854,terraced duplex,4,Lekki,3000000
1855,terraced duplex,5,Ikoyi,11000000
1856,detached duplex,6,Lekki,4000000
1857,terraced duplex,4,Ikoyi,12000000
1858,terraced duplex,4,Ikoyi,6000000
1859,terraced duplex,4,Ikoyi,17500000
1860,detached duplex,4,Ajah,2500000
1861,terraced duplex,4,Ikoyi,6000000
1862,terraced duplex,4,(VI),5000000
1863,detached duplex,4,Lekki,6500000
1864,semi-detached duplex,4,Lekki,150000000
1865,terraced duplex,2,Ajah,1300000
1866,terraced duplex,3,Lekki,5500000
1867,house for,4,Lekki,7000000
1868,semi-detached duplex,3,Lekki,6000000
1869,terraced duplex,3,Lekki,1500000
1870,detached duplex,7,(VI),10000000
1871,terraced duplex,4,Ikoyi,6500000
1872,terraced duplex,2,(VI),4300000
1873,terraced duplex,4,(VI),5700000
1874,detached duplex,5,Lekki,14000000
1875,terraced duplex,3,Lekki,2500000
1876,terraced duplex,4,Ikoyi,6000000
1877,detached duplex,5,Lekki,7000000
1878,detached duplex,4,Lekki,3500000
1879,semi-detached duplex,4,Lekki,3500000
1880,detached duplex,9,(VI),12000000
1881,terraced duplex,4,Lekki,6000000
1882,detached duplex,6,Ikoyi,20000000
1883,detached duplex,6,Lekki,6500000
1884,terraced duplex,2,(VI),8000000
1885,for rent,Detached,Surulere,7000000
1886,semi-detached duplex,3,Lekki,4000000
1887,terraced duplex,4,Ikoyi,10000000
1888,terraced duplex,3,Ikoyi,16000000
1889,semi-detached duplex,4,Lekki,4000000
1890,semi-detached duplex,6,Lekki,5000000
1891,semi-detached duplex,5,Lekki,6000000
1892,detached duplex,4,Lekki,7000000
1893,terraced duplex,4,Lekki,3000000
1894,detached duplex,4,Lekki,5500000
1895,semi-detached duplex,4,Ikeja,5500000
1896,semi-detached duplex,5,Lekki,8000000
1897,terraced duplex,3,Ikoyi,13500000
1898,detached duplex,5,Lekki,6000000
1899,semi-detached bungalow,3,Ikeja,1800000
1900,terraced duplex,5,Lekki,5000000
1901,semi-detached duplex,4,Lekki,6000000
1902,terraced duplex,4,(VI),6000000
1903,semi-detached bungalow,4,Lekki,4000000
1904,detached duplex,4,Lekki,3000000
1905,house for,3,Maryland,3500000
1906,semi-detached duplex,4,Lekki,3500000
1907,terraced duplex,3,Lekki,3500000
1908,terraced duplex,3,Lekki,2500000
1909,semi-detached duplex,5,(VI),14000000
1910,terraced duplex,4,Agege,2000000
1911,house for,4,Lekki,4000000
1912,terraced duplex,5,(VI),6500000
1913,house for,5,Ajah,2000000
1914,terraced duplex,4,Lekki,3200000
1915,house for,3,Ikoyi,15000000
1916,detached duplex,5,Lekki,3500000
1917,semi-detached duplex,4,Lekki,6000000
1918,detached bungalow,4,Lekki,1500000
1919,house for,4,Lekki,2500000
1920,rent,House,Ketu,5000000
1921,terraced duplex,4,Ikoyi,28000000
1922,detached duplex,5,Lekki,4500000
1923,semi-detached duplex,3,Lekki,3000000
1924,house for,3,Ikoyi,18000000
1925,house for,2,(VI),4000000
1926,semi-detached bungalow,2,Ajah,650000
1927,semi-detached duplex,5,Lekki,6000000
1928,terraced duplex,4,(VI),5500000
1929,terraced duplex,4,Lekki,3600000
1930,semi-detached duplex,8,Ikoyi,40000000
1931,semi-detached duplex,5,Ikoyi,20000000
1932,semi-detached duplex,6,Lekki,5000000
1933,terraced duplex,4,Ikoyi,29000000
1934,detached duplex,5,Ikeja,15000000
1935,house for,4,Lekki,4000000
1936,semi-detached duplex,4,Ikoyi,12000000
1937,semi-detached duplex,4,Ikeja,4000000
1938,terraced duplex,4,Ikoyi,15000000
1939,terraced duplex,3,Lekki,3000000
1940,terraced duplex,3,Ikoyi,10000000
1941,semi-detached duplex,4,Ikorodu,400000
1942,terraced duplex,5,Ikoyi,12000000
1943,semi-detached duplex,5,Lekki,6000000
1944,terraced duplex,4,Ikoyi,13000000
1945,terraced duplex,4,Ikoyi,10000000
1946,terraced duplex,4,Ikoyi,10000000
1947,terraced duplex,4,Ikoyi,10000000
1948,terraced duplex,4,Lekki,3500000
1949,terraced duplex,4,(VI),6000000
1950,terraced duplex,3,Lekki,2500000
1951,terraced duplex,4,Lekki,6000000
1952,terraced duplex,4,Lekki,3000000
1953,house for,4,Lekki,4000000
1954,terraced duplex,4,Lekki,3300000
1955,semi-detached duplex,4,Lekki,3500000
1956,detached duplex,5,Lekki,4000000
1957,terraced duplex,4,Ikoyi,17000000
1958,semi-detached duplex,4,Lekki,3500000
1959,semi-detached duplex,6,Ikoyi,25000000
1960,detached duplex,5,Lekki,3500000
1961,detached duplex,5,Lekki,2500000
1962,terraced duplex,4,Agege,1400000
1963,semi-detached duplex,4,Lekki,3500000
1964,detached duplex,4,Lekki,4500000
1965,semi-detached duplex,4,Lekki,3500000
1966,detached duplex,5,Ajah,4000000
1967,house for,3,Ajah,800000
1968,detached duplex,5,Lekki,7500000
1969,semi-detached duplex,4,Lekki,6000000
1970,semi-detached duplex,4,Lekki,3500000
1971,semi-detached duplex,4,Lekki,3500000
1972,terraced duplex,4,Lekki,3200000
1973,detached duplex,5,Lekki,4200000
1974,house for,4,Lekki,4000000
1975,flats for,Block,(VI),40000000
1976,detached bungalow,2,Lekki,1500000
1977,detached duplex,5,Lekki,4200000
1978,detached duplex,5,Lekki,4200000
1979,detached duplex,5,Lekki,4200000
1980,semi-detached duplex,5,Lekki,6000000
1981,semi-detached duplex,5,Lekki,6500000
1982,house for,4,Lekki,4500000
1983,semi-detached duplex,4,Lekki,2700000
1984,terraced duplex,5,(VI),10000000
1985,house for,2,Gbagada,750000
1986,terraced bungalow,3,Lekki,1500000
1987,terraced bungalow,3,Lekki,2000000
1988,semi-detached duplex,4,Magodo,2200000
1989,detached duplex,4,Lekki,4000000
1990,terraced duplex,4,Lekki,3500000
1991,house for,3,Alimosho,650000
1992,semi-detached bungalow,2,Ajah,1000000
1993,house for,2,Lekki,1500000
1994,semi-detached bungalow,4,Lekki,3500000
1995,terraced duplex,3,Lekki,1500000
1996,semi-detached duplex,3,Ajah,1800000
1997,detached duplex,4,Lekki,3500000
1998,house for,3,Ikoyi,12000000
1999,semi-detached duplex,4,Ikoyi,16000000
2000,terraced duplex,4,Ikoyi,10000000
2001,detached duplex,4,Lekki,3800000
2002,rent,House,(VI),3000000
2003,terraced duplex,4,Isolo,1500000
2004,detached duplex,3,Lekki,3000000
2005,house for,4,Lekki,3300000
2006,semi-detached duplex,5,Ikoyi,6500000
2007,for rent,Semi-detached,Lekki,5000000
2008,terraced duplex,3,Lekki,4000000
2009,semi-detached duplex,4,Lekki,3500000
2010,semi-detached duplex,4,Lekki,3500000
2011,detached duplex,4,Lekki,3800000
2012,terraced duplex,4,(VI),4000000
2013,detached duplex,5,Lekki,4000000
2014,semi-detached duplex,4,Lekki,3500000
2015,terraced duplex,4,Lekki,3500000
2016,semi-detached duplex,6,Lekki,5000000
2017,house for,3,Lekki,1000000
2018,terraced duplex,4,Lekki,3000000
2019,terraced duplex,4,Lekki,3000000
2020,house for,2,Ajah,500000
2021,house for,4,Lekki,4000000
2022,detached duplex,5,Lekki,5000000
2023,semi-detached duplex,4,Lekki,3500000
2024,for rent,Semi-detached,Lekki,3500000
2025,semi-detached duplex,4,Lekki,3500000
2026,detached duplex,4,Lekki,2200000
2027,detached duplex,4,Lekki,1700000
2028,detached duplex,5,Ikeja,6000000
2029,terraced duplex,5,Lekki,3000000
2030,detached duplex,4,Lekki,4000000
2031,detached duplex,4,Lekki,2500000
2032,detached bungalow,3,Lekki,4000000
2033,detached duplex,6,Lekki,7000000
2034,terraced duplex,3,Lekki,2500000
2035,semi-detached duplex,4,Lekki,3500000
2036,house for,4,Ajah,1700000
2037,semi-detached duplex,6,Lekki,5000000
2038,detached duplex,4,Lekki,5000000
2039,semi-detached duplex,4,Lekki,3500000
2040,detached duplex,5,Lekki,3500000
2041,semi-detached duplex,4,Lekki,2500000
2042,semi-detached duplex,3,Lekki,2500000
2043,semi-detached duplex,4,Lekki,3500000
2044,terraced duplex,4,(VI),7000000
2045,terraced duplex,4,(VI),4500000
2046,semi-detached duplex,4,Lekki,3500000
2047,terraced duplex,4,Lekki,3000000
2048,semi-detached duplex,6,Surulere,4000000
2049,terraced duplex,4,Lekki,3000000
2050,detached duplex,5,Lekki,4000000
2051,semi-detached duplex,6,Lekki,3000000
2052,semi-detached duplex,4,Lekki,4000000
2053,house for,4,Lekki,3200000
2054,terraced duplex,4,Lekki,3000000
2055,semi-detached duplex,4,(VI),4500000
2056,terraced duplex,4,Lekki,3000000
2057,semi-detached duplex,4,Lekki,4000000
